danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target,genre
0.698,0.66,0,-7.883,1,0.052,0.0226,0.0,0.0622,0.451,159.949,audio_features,51w9Jbat1pLeWINGCpnQUR,spotify:track:51w9Jbat1pLeWINGCpnQUR,https://api.spotify.com/v1/tracks/51w9Jbat1pLeWINGCpnQUR,https://api.spotify.com/v1/audio-analysis/51w9Jbat1pLeWINGCpnQUR,248521,4,1,Hip-Hop
0.535,0.0557,2,-20.807,0,0.0512,0.992,0.939,0.127,0.45,132.494,audio_features,07LWnpMdekmEjaipVc0PV7,spotify:track:07LWnpMdekmEjaipVc0PV7,https://api.spotify.com/v1/tracks/07LWnpMdekmEjaipVc0PV7,https://api.spotify.com/v1/audio-analysis/07LWnpMdekmEjaipVc0PV7,96947,4,1,Classical
0.679,0.728,5,-3.092,0,0.154,0.159,0.0,0.107,0.46,152.001,audio_features,3TTMUI5dFcbeNSDTTDY9M8,spotify:track:3TTMUI5dFcbeNSDTTDY9M8,https://api.spotify.com/v1/tracks/3TTMUI5dFcbeNSDTTDY9M8,https://api.spotify.com/v1/audio-analysis/3TTMUI5dFcbeNSDTTDY9M8,181013,4,1,Hip-Hop
0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,audio_features,1uNePI826aqh9uC9pgbeHU,spotify:track:1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/tracks/1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/audio-analysis/1uNePI826aqh9uC9pgbeHU,211013,4,1,Hip-Hop
0.36,0.0177,1,-23.79,1,0.0432,0.992,0.895,0.127,0.0384,70.353,audio_features,5xXjqFnvQbxZglR1sGm0Yc,spotify:track:5xXjqFnvQbxZglR1sGm0Yc,https://api.spotify.com/v1/tracks/5xXjqFnvQbxZglR1sGm0Yc,https://api.spotify.com/v1/audio-analysis/5xXjqFnvQbxZglR1sGm0Yc,339947,4,1,Classical
0.364,0.0515,10,-24.655,1,0.0435,0.994,0.925,0.13,0.367,144.455,audio_features,5AsyuAyjVmRcY2LUrbwxvx,spotify:track:5AsyuAyjVmRcY2LUrbwxvx,https://api.spotify.com/v1/tracks/5AsyuAyjVmRcY2LUrbwxvx,https://api.spotify.com/v1/audio-analysis/5AsyuAyjVmRcY2LUrbwxvx,372773,3,1,Classical
0.629,0.817,6,-4.261,1,0.0357,0.199,0.0,0.317,0.466,123.087,audio_features,6syOdAs4IK8kPWR7gDyjRw,spotify:track:6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/tracks/6syOdAs4IK8kPWR7gDyjRw,https://api.spotify.com/v1/audio-analysis/6syOdAs4IK8kPWR7gDyjRw,220293,4,1,Hip-Hop
0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,audio_features,14mHfNsSHN0FbLftyjrV9g,spotify:track:14mHfNsSHN0FbLftyjrV9g,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,195637,4,1,Hip-Hop
0.693,0.88,11,-3.228,0,0.0661,0.0901,0.0,0.211,0.397,88.088,audio_features,7aXXjA800sXYKpM8D9pCVT,spotify:track:7aXXjA800sXYKpM8D9pCVT,https://api.spotify.com/v1/tracks/7aXXjA800sXYKpM8D9pCVT,https://api.spotify.com/v1/audio-analysis/7aXXjA800sXYKpM8D9pCVT,278800,4,1,Hip-Hop
0.357,0.0881,11,-26.075,0,0.0446,0.995,0.928,0.1,0.217,75.489,audio_features,3N19GXXX5JsftHU9q7YOUU,spotify:track:3N19GXXX5JsftHU9q7YOUU,https://api.spotify.com/v1/tracks/3N19GXXX5JsftHU9q7YOUU,https://api.spotify.com/v1/audio-analysis/3N19GXXX5JsftHU9q7YOUU,161962,3,1,Classical
0.844,0.715,10,-6.427,0,0.303,0.429,0.0,0.0923,0.418,104.95,audio_features,1XhNV4snLHYwZVeaUoT0R3,spotify:track:1XhNV4snLHYwZVeaUoT0R3,https://api.spotify.com/v1/tracks/1XhNV4snLHYwZVeaUoT0R3,https://api.spotify.com/v1/audio-analysis/1XhNV4snLHYwZVeaUoT0R3,181109,4,1,Hip-Hop
0.34,0.0642,7,-23.697,1,0.0407,0.975,0.136,0.144,0.567,146.581,audio_features,1OX5WhlwcmU58vyBa5eOhn,spotify:track:1OX5WhlwcmU58vyBa5eOhn,https://api.spotify.com/v1/tracks/1OX5WhlwcmU58vyBa5eOhn,https://api.spotify.com/v1/audio-analysis/1OX5WhlwcmU58vyBa5eOhn,343347,4,1,Classical
0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,audio_features,6GgPsuz0HEO0nrO2T0QhDv,spotify:track:6GgPsuz0HEO0nrO2T0QhDv,https://api.spotify.com/v1/tracks/6GgPsuz0HEO0nrO2T0QhDv,https://api.spotify.com/v1/audio-analysis/6GgPsuz0HEO0nrO2T0QhDv,263773,4,1,Hip-Hop
0.519,0.112,11,-21.159,0,0.0387,0.885,0.0678,0.111,0.647,124.662,audio_features,2nnHeikmjEkrVUwBG3OtmK,spotify:track:2nnHeikmjEkrVUwBG3OtmK,https://api.spotify.com/v1/tracks/2nnHeikmjEkrVUwBG3OtmK,https://api.spotify.com/v1/audio-analysis/2nnHeikmjEkrVUwBG3OtmK,204187,4,1,Classical
0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,audio_features,2wGSgTmgSF3xjRrHkTc25R,spotify:track:2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/tracks/2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/audio-analysis/2wGSgTmgSF3xjRrHkTc25R,206400,4,1,Hip-Hop
0.354,0.123,3,-19.629,1,0.0599,0.995,0.842,0.099,0.0372,97.136,audio_features,4ATcY8tjIQAC95Crgzkjnd,spotify:track:4ATcY8tjIQAC95Crgzkjnd,https://api.spotify.com/v1/tracks/4ATcY8tjIQAC95Crgzkjnd,https://api.spotify.com/v1/audio-analysis/4ATcY8tjIQAC95Crgzkjnd,154955,4,1,Classical
0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,audio_features,2ajhenDRiiAnCHHjsIOHhJ,spotify:track:2ajhenDRiiAnCHHjsIOHhJ,https://api.spotify.com/v1/tracks/2ajhenDRiiAnCHHjsIOHhJ,https://api.spotify.com/v1/audio-analysis/2ajhenDRiiAnCHHjsIOHhJ,224253,4,1,Hip-Hop
0.862,0.685,0,-7.699,0,0.242,0.0342,0.0,0.204,0.672,100.024,audio_features,05WepN8vrMLJG5r8XRdLeL,spotify:track:05WepN8vrMLJG5r8XRdLeL,https://api.spotify.com/v1/tracks/05WepN8vrMLJG5r8XRdLeL,https://api.spotify.com/v1/audio-analysis/05WepN8vrMLJG5r8XRdLeL,172800,4,1,Hip-Hop
0.316,0.0057,0,-35.986,1,0.0399,0.995,0.892,0.0658,0.0816,96.51,audio_features,3wvv5GbFdqGHOSgS4TMcCf,spotify:track:3wvv5GbFdqGHOSgS4TMcCf,https://api.spotify.com/v1/tracks/3wvv5GbFdqGHOSgS4TMcCf,https://api.spotify.com/v1/audio-analysis/3wvv5GbFdqGHOSgS4TMcCf,145000,1,1,Classical
0.315,0.0553,11,-29.237,1,0.0503,0.994,0.892,0.156,0.268,92.608,audio_features,0hTQrLYFYI6Eth78YTDNpO,spotify:track:0hTQrLYFYI6Eth78YTDNpO,https://api.spotify.com/v1/tracks/0hTQrLYFYI6Eth78YTDNpO,https://api.spotify.com/v1/audio-analysis/0hTQrLYFYI6Eth78YTDNpO,196560,3,1,Classical
